recency,frequency,monetary,cluster
326,1,77183.6,0
2,7,4310.0,3
75,4,1797.24,3
19,1,1757.55,3
310,1,334.4,1
36,8,2506.04,3
204,1,89.0,1
232,1,1079.4,1
214,1,459.4,1
23,3,2811.43,3
33,1,6207.67,3
2,2,1168.06,3
58,4,6310.03,3
52,3,2662.06,3
287,1,189.9,1
3,10,5226.23,3
110,2,552.0,3
8,4,1313.1,3
291,2,641.38,1
4,1,168.9,3
51,4,3541.94,3
45,2,1887.96,3
72,3,1298.04,3
311,1,364.6,1
25,1,742.9300000000001,3
11,2,457.5,3
315,2,1628.12,1
130,1,4008.62,3
82,2,852.24,3
22,4,2724.81,3
5,5,1845.31,3
185,5,1850.56,1
29,2,585.27,3
338,2,401.9,1
16,6,2780.66,3
80,1,549.84,3
22,1,439.66,3
72,4,1582.6000000000001,3
64,2,1272.48,3
19,12,3018.63,3
36,2,2409.9,3
46,1,1635.6599999999999,3
119,4,1108.65,3
303,1,84.3,1
323,1,225.6,1
50,1,427.7,3
149,1,1710.39,1
22,2,3415.3,3
50,5,1708.1200000000001,3
33,5,2888.55,3
79,3,11072.67,3
309,2,693.3299999999999,1
75,3,1226.88,3
67,3,758.1,3
217,3,562.41,1
24,21,124914.53,2
3,9,3649.1,3
113,1,668.58,3
64,1,600.39,3
16,4,807.04,3
96,3,803.5600000000001,3
1,8,1859.31,3
163,2,1760.96,1
78,1,777.2,3
195,1,582.73,1
22,3,825.8,3
26,9,7956.46,3
9,4,3750.4,3
43,1,256.4,3
36,15,6419.95,0
43,5,5059.32,3
1,7,13375.87,3
85,2,806.14,3
80,2,7829.89,3
100,1,509.01,3
2,18,4951.41,0
14,2,2906.85,3
367,1,173.55,1
3,1,172.06,3
21,5,5005.46,3
22,1,133.4,3
58,1,1002.3100000000001,3
243,1,476.49,1
44,1,449.45,3
22,4,4067.29,3
156,2,197.88,1
11,5,9035.52,3
17,2,430.57,3
134,1,707.09,3
56,1,3528.34,3
73,6,2466.86,3
44,3,3181.04,3
66,7,2363.23,3
71,2,947.4,3
94,2,826.88,3
19,2,1189.59,3
53,4,1344.78,3
10,8,1212.05,3
17,2,742.1899999999999,3
188,2,729.5400000000001,1
2,30,19788.65,0
32,7,6572.11,3
29,5,3928.0499999999997,3
17,18,7324.09,0
54,1,723.38,3
16,11,6816.42,3
23,6,13219.74,3
4,1,680.99,3
11,1,527.2,3
28,4,3281.63,3
23,10,5579.82,3
17,8,2484.98,3
33,6,4527.32,3
10,3,1298.66,3
336,1,334.93,1
5,10,5417.93,3
39,1,460.40000000000003,3
63,2,263.21000000000004,3
166,2,433.74,1
16,7,1246.1000000000001,3
82,1,1043.1,3
21,3,403.70000000000005,3
23,11,4257.82,3
337,1,2169.39,1
96,5,3723.87,3
18,2,482.04999999999995,3
233,1,73.5,1
134,3,1304.81,3
26,2,397.88,3
284,1,176.5,1
143,2,982.5699999999999,3
66,2,132.18,3
113,1,612.29,3
267,1,1017.68,1
353,1,383.7,1
78,2,1312.06,3
28,5,2481.6,3
1,5,2056.89,3
64,1,330.84,3
